survey,consent,opt_out_understand,date,village,cookstove_number,Column1,18_or_older,primary_cook,electrical_connection,functional_connection,hr_elec_day_high,hr_elec_day_low,own_phone,gender,age,household_total,household_women,household_men,household_girls,household_boys,commercial_cooking,n_phones,n_rooms,separate_kitchen,collect_or_purchase,collect_or_purchase2,collect_or_purchase3,collection_per_week_low,collection_per_week_high,collection_per_week_mean,hr_collection_wk_low,hr_collection_wk_high,hr_collection_wk_mean,money_wood_wk_low,money_wood_wk_low2,money_wood_wk_mean,paid_to_charge,paid_charge_times,paid_charge_per,paid_charge_other,paid_charge_fee_low,paid_charge_fee_high,where_charge_home,where_charge_others_home,where_charge_business,where_charge_taxi,where_charge_solar,where_charge_other,stoves_in_home_shakti,stoves_in_home_chulha,stoves_in_home_tsf,stoves_in_home_metal_charcoal,stoves_in_home_metal_wood,stoves_in_home_kerosene,stoves_in_home_lpg,stoves_in_home_electric,stoves_in_home_solar,stoves_in_home_other,fuels_in_home_wood,fuels_in_home_charcoal,fuels_in_home_dung,fuels_in_home_crop,fuels_in_home_kerosene,fuels_in_home_lpg,fuels_in_home_electricity,fuels_in_home_solar,fuels_in_home_other,primary_food_stove_shakti,primary_food_stove_chulha,primary_food_stove_tsf,primary_food_stove_metal_charcoal,primary_food_stove_metal_wood,primary_food_stove_kerosense,primary_food_stove_lpg,primary_food_stove_electric,primary_food_stove_solar,primary_food_stove_other,primary_tea_stove_shakti,primary_tea_stove_chulha,primary_tea_stove_tsf,primary_tea_stove_metal_charcoal,primary_tea_stove_metal_wood,primary_tea_stove_kerosene,primary_tea_stove_lpg,primary_tea_stove_electric,primary_tea_stove_solar,primary_tea_stove_other,primary_fuel_food_wood,primary_fuel_food_charcoal,primary_fuel_food_dung,primary_fuel_food_crop,primary_fuel_food_kerosene,primary_fuel_food_lpg,primary_fuel_food_electricity,primary_fuel_food_solar,primary_fuel_food_other,primary_fuel_tea_wood,primary_fuel_tea_charcoal,primary_fuel_tea_dung,primary_fuel_tea_crop,primary_fuel_tea_kerosense,primary_fuel_tea_lpg,primary_fuel_tea_electricity,primary_fuel_tea_solar,primary_fuel_tea_other,worst_thing_shakti_1,worst_thing_shakti_2,worst_thing_shakti_3,worst thing: size,worst thing: fuel loading,worst thing: fuel prep,worst thing: type or volume of food can't be cooked,worst thing: no usb,rate_size,rate_stability,rate_fuel_prep,rate_appearance,rate_complexity,rate_fuel_addition,best_thing_shakti_1,best_thing_shakti_2,best_thing_shakti_3,best thing: fast cooking,best thing: less smoke,best thing: less wood,best thing: charging,best thing: trasport,best thing: fan,rate_smoke,rate_usb_charging_family,rate_usb_charging_others,rate_fan,rate_fuel_consumption,rate_cooking_speed,rate_showing_off,better_worse_tea,better_worse_curry,better_worse_upma,better_worse_khichiri,better_worse_rice,better_worse_saimi,better_worse_dal,rate_overall,purchase_price,average purchase price numeric,rental_price,average rental price,notes
baseline,yes,yes,12/7/14,village2,A-08,A,yes,yes,no,,,,yes,female,60,3,1,2,0,0,no,1,4,yes,collect,,,2,3,2.5,8,,8,,,,yes,2,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,not feeling good as the size is small,not fit for cooking food for more people,,1,,,1,,6,3,4,6,5,5,less smoke emitted,as the fan is fitted in the cullah,helpful in charging the light and mobile,,,,,,,7,7,5,6,7,3,4,better,better,better,better,worse,better,better,6,no as i do not have capacity,,no,,assures the safety of the chulla
baseline,yes,yes,11/23/14,village1,A-06,A,yes,yes,no,no,,,yes,female,26,6,1,1,3,1,no,1,2,yes,collect,,,2,,2,4,,4,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,Not fit for a family having more than 5 members,,,,,,1,,5,2,2,4,3,3,less time for cooking,less smoke,,,,,,,,6,6,5,5,6,6,5,better,better,better,better,worse,better,worse,6,Not interested to purchase,,Not interested to take on rent or hire basis,,
baseline,yes,yes,12/21/14,village3,A-09,A,yes,yes,no,,,,yes,female,25,5,1,1,2,1,no,1,2,no,collect,,,2,,2,5,,5,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,adding fuel from top putting the pot down frequently,,1,1,,,,2,4,3,6,4,2,quick to cook,it charges,less smoke emited,,,,,,,5,5,4,5,5,5,4,better,better,better,better,worse,better,worse,4,no,,no,,
baseline,yes,yes,11/23/14,village1,A-12,A,yes,yes,no,no,,,yes,female,35,4,1,1,1,1,no,1,2,no,collect,,,2,,2,6,7,6.5,,,,yes,3,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,not fit for big family,,1,,,1,,6,5,6,5,6,5,able to charge Mobile phone,less time spent for cooking,able to charge the light,,,,,,,7,7,6,7,6,6,5,better,better,better,better,better,better,better,6,Interested if the cost ranges between Rs. 100 to Rs. 150/-,,Interested if the cost ranges between Rs. 10to Rs. 20/- per week,,
baseline,yes,yes,12/7/14,village2,A-09,A,yes,yes,no,,,,yes,female,32,4,1,1,1,1,no,1,4,yes,collect,,,4,,4,4,5,4.5,,,,yes,3,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,not fit for cooking food for more people,frequently lifting the pot from the chulla and adding fuel is not interesting,1,1,,1,,4,5,3,7,5,4,less smoke emitted,usb charging facility available,easy to operate as there is fan,,,,,,,6,7,5,6,5,5,4,better,better,better,better,worse,better,worse,5,no,,no,,I will take care f the chulla and shall return in good condition
baseline,yes,yes,12/7/14,village2,A-12,A,yes,yes,no,,,,yes,female,28,4,1,1,1,1,no,1,2,no,collect,,,2,,2,5,,5,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,frequently puting the pot down and add fuel,not fit for cooking food for more people,,1,1,,1,,5,5,4,7,4,1,charging is possible,quick to cook,less smoke emited,,,,,,,5,7,5,5,6,6,5,better,better,better,better,worse,better,worse,5,no,,no,,
baseline,yes,yes,12/21/14,village3,A-10,A,yes,yes,no,,,,yes,female,40,4,1,1,1,1,no,1,2,no,collect,,,2,,2,6,,6,,,,no,2,week,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,not fit to cook for more people,adding fuel frequently,frequently lifting the pot from the chulla and adding fuel is not interesting,1,1,,,,5,5,5,5,6,2,Mobile charging possible,less smoke,less wood required,,,,,,,7,7,7,6,6,6,4,better,better,better,better,worse,better,worse,6,Rs 500,,Rs 10,,Take care of the chulla and return after two weeks
baseline,yes,yes,12/7/14,village2,A-11,A,yes,yes,no,,,,yes,female,25,3,1,1,0,1,no,1,1,no,collect,,,2,3,2.5,5,,5,,,,yes,4,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently is irritating,too small in size,,1,1,,,,3,5,5,7,4,2,smoke not there,quick to cook,less wood required,,,,,,,5,7,4,5,5,5,4,better,better,better,better,worse,better,worse,5,no,,no,,
baseline,yes,yes,12/7/14,village2,A-07,A,yes,yes,no,,,,yes,female,40,5,1,1,1,2,no,2,2,yes,collect,,,2,3,2.5,7,8,7.5,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,only suitable to cook for less people,not possible to cook rice,1,,,1,,4,5,3,6,7,6,less smoke emitted,charging mobile is possible,inbuilt fan helps,,,,,,,7,5,6,4,5,3,5,better,better,better,better,worse,better,worse,5,yes maximum Rs.500,,not interested,,assures to return it in condition after using carefully
baseline,yes,yes,11/23/14,village1,A-04,A,yes,yes,no,no,,,yes,female,25,4,1,1,0,2,no,1,2,yes,collect,,,3,,3,4,,4,,,,yes,0.5,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,no response,,,,,,,,2,3,3,4,3,3,easy to cook food for three to four persons,less smoke,,,,,,,,6,6,5,5,6,6,5,better,better,better,better,better,better,better,6,yes interested to purchase. Can afford Maximum Rs.300/- as its cost.,,Not interested,,
baseline,yes,yes,11/23/14,village1,A-09,A,yes,yes,no,no,,,yes,female,26,3,1,1,1,0,no,1,3,yes,collect,,,2,3,2.5,2,,2,,,,no,,,,,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,,,1,,,,,2,2,3,4,2,2,less smoke,cooking for 4-5 member is easy,,,,,,,,6,6,5,5,6,6,5,better,better,better,better,better,better,better,6,yes interested. Can afford Rs. 300/- as cost,,No not interested,,
baseline,yes,yes,11/23/14,village1,A-10,A,yes,yes,no,no,,,yes,female,26,2,1,1,0,0,no,1,1,no,collect,,,3,,3,7,8,7.5,,,,yes,2,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,preparing small pieces of wood for fuel,,1,,1,,,7,5,6,6,6,6,able to charge Mobile phone,less time spent for cooking,less fuel consumption,,,,,,,7,7,6,7,6,6,5,better,worse,better,better,better,better,better,6,Interested if the cost is in between Rs. 100 to Rs 150,,If it is in between Rs. 10 to 15 per week then I can have it,,
baseline,yes,yes,11/23/14,village1,A-11,A,yes,yes,no,no,,,yes,female,25,2,1,1,0,0,no,1,1,no,collect,,,3,,3,7,8,7.5,,,,yes,2,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,not fit for big family,,1,,1,1,,6,5,7,5,4,5,able to charge Mobile phone,less time spent for cooking,able to charge the light,,,,,,,6,7,6,7,5,6,6,better,better,better,better,better,better,better,6,Interested if the cost is maximum Rs 200/-,,Rs.10 to Rs. 20 is affordable,,
baseline,yes,yes,12/21/14,village3,A-01,A,yes,yes,no,,,,yes,female,28,2,1,1,0,0,no,1,2,yes,collect,,,2,,2,3,,3,,,,yes,2,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,adding fuel from top is not comfortable,,1,1,,,,2,4,3,7,4,2,charging is possible,no smoke,quick cooking,,,,,,,5,6,4,5,5,5,4,better,better,better,better,worse,better,worse,1,no,,no,,
baseline,yes,yes,12/21/14,village3,A-08,A,yes,yes,no,,,,yes,female,25,2,1,1,0,0,no,1,1,no,collect,,,2,,2,3,,3,,,,yes,2,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,adding fuel from top and again and again is not comfortable,,1,1,,,,2,3,3,6,4,2,quick to cook,charging mobile is possible,less smoke emited,,,,,,,5,5,4,5,5,5,4,better,better,better,better,worse,better,worse,4,no,,no,,
baseline,yes,yes,12/7/14,village2,A-10,A,yes,yes,no,,,,yes,female,35,2,1,0,1,0,no,1,1,no,collect,,,2,3,2.5,5,,5,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,,,1,,,,,5,5,5,7,6,5,charging is possible,quick to cook,less wood required,,,,,,,6,7,5,5,5,5,5,better,better,better,better,better,better,better,7,no,,no,,
baseline,yes,yes,12/7/14,village2,A-01,A,yes,yes,no,,,,yes,female,40,1,1,0,0,0,no,1,2,no,collect,,,2,,2,6,7,6.5,,,,yes,2,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,crop residues,,,,,,it is too small,making small pieces of wood is problematic,frequently lifting the pot from the chulla and adding fuel is not interesting,1,1,1,,,5,4,2,6,3,2,cooking is fast,less wood is required,helpful in charging the light and mobile,,,,,,,6,5,5,6,4,4,2,better,worse,better,better,worse,better,worse,6,Rs 200 to Rs. 300,,Rs. 40 to Rs. 50,,I am confident of using it easily
baseline,yes,yes,12/21/14,village3,A-03,A,yes,yes,no,no,,,yes,female,40,1,1,0,0,0,no,1,2,no,collect,,,1,,1,6,7,6.5,,,,yes,1,week,,5,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,crop residues,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,problem in making the fuel small pieces,frequently lifting the pot from the chulla and adding fuel is not interesting,1,1,1,,,5,5,4,4,3,2,quick to cook,less wood is required,less smoke emited,,,,,,,6,5,5,6,6,5,4,better,better,better,better,worse,better,worse,5,yes Rs. 300 - 400,,Rs. 50-60,,use it carefully
baseline,yes,yes,12/21/14,village3,A-04,A,yes,yes,no,,,,yes,female,30,6,2,2,0,2,no,1,2,no,collect,,,1,2,1.5,3,,3,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,adding fuel from top is not comfortable,,1,1,,,,2,4,4,7,4,2,less smoke emitted,cooking is faster,charging possible,,,,,,,5,6,4,5,5,5,4,better,worse,better,better,worse,better,worse,4,no,,no,,
baseline,yes,yes,11/23/14,village1,A-08,A,yes,yes,no,no,,,yes,female,28,4,2,2,0,0,no,1,2,no,collect,,,2,3,2.5,4,,4,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,,,1,,,,,2,2,3,4,2,1,able to charge Mobile phone,less smoke,,,,,,,,6,6,5,5,6,6,5,better,better,better,better,worse,better,better,4,No not interested. But the fair price would maximum Rs. 500/-,,No Not interested,,
baseline,yes,yes,12/21/14,village3,A-05,A,yes,yes,no,,,,yes,female,35,4,2,2,0,0,no,1,2,no,collect,,,1,2,1.5,5,,5,,,,yes,2,week,,10,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,adding fuel from top is not comfortable,,1,1,,,,2,4,3,6,4,2,less smoke emitted,cooking is faster,charging possible,,,,,,,5,5,4,5,5,5,2,better,better,better,better,worse,better,better,4,no,,no,,
baseline,yes,yes,12/21/14,village3,A-12,A,yes,yes,no,,,,yes,female,35,5,2,1,1,1,no,1,1,no,collect,,,2,,2,4,,4,,,,no,,,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is too small,adding fuel from top putting the pot down frequently,,1,1,,,,2,3,4,6,4,2,less smoke emitted,charging mobile is possible,quick cooking,,,,,,,5,5,4,6,6,5,4,better,better,better,better,worse,better,worse,4,no,,no,,
baseline,yes,yes,12/21/14,village3,A-07,A,yes,yes,no,,,,yes,female,35,4,2,1,0,1,no,1,4,yes,collect,,,2,,2,5,,5,,,,yes,2,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,too small in size,not possible to cook for more people,1,1,,1,,5,5,4,7,5,5,less smoke emitted,cooking is faster,helpful in charging the light and mobile,,,,,,,7,7,4,6,6,6,4,better,worse,better,better,worse,better,worse,5,Rs 400,,Rs 10,,Use it carefully and return after two weeks
baseline,yes,yes,12/21/14,village3,A-11,A,yes,yes,no,no,,,yes,female,40,6,2,1,3,0,no,1,2,no,collect,,,2,,2,5,,5,,,,no,2,week,,,,,someone else's home,,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,adding fuel from top putting the pot down frequently,too small in size,1,1,,,,5,4,6,7,5,4,less smoke emitted,cooking is faster,helpful in charging the light and mobile,,,,,,,7,7,7,7,7,6,4,better,worse,better,better,worse,better,worse,6,Rs 400,,Rs 10,,take care f the chulla and return after two weeks
baseline,yes,yes,11/23/14,village1,A-05,A,yes,yes,no,no,,,yes,female,32,4,3,1,0,0,no,1,2,yes,collect,,,3,4,3.5,4,,4,,,,yes,0.75,week,,5,,,,a business,,,,,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,,,1,,,,,2,2,2,4,3,3,less smoke,able to charge the mobile phone,less fuel consumption,,,,,,,6,6,5,5,6,6,6,better,worse,better,worse,worse,better,better,4,Not interested to purchase if available in the market. But assessed the cost as Rs. 400/-,,Not interested to take on rent,,
baseline,yes,yes,12/21/14,village3,A-06,A,yes,yes,no,,,,yes,female,35,4,3,1,0,0,no,1,2,no,collect,,,1,,1,7,8,7.5,,,,yes,1,week,,10,,,,a business,,,,,chulha,,basic metal charcoal stove,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,,chulha,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,size is small,adding fuel from top putting the pot down frequently,,1,1,,,,4,4,2,5,3,2,less wood required,less smoke,quick cooking,,,,,,,6,5,4,6,4,7,5,better,better,better,better,worse,better,worse,5,Rs. 400-500,,Rs. 50-60,,assuring to use the chulla with all care
