survey,opt_out_understand,date,village,cookstove_number,stoves_in_home_shakti,stoves_in_home_chulha,stoves_in_home_tsf,stoves_in_home_metal_charcoal,stoves_in_home_metal_wood,stoves_in_home_kerosene,stoves_in_home_lpg,stoves_in_home_electric,stoves_in_home_solar,stoves_in_home_other,fuels_in_home_wood,fuels_in_home_charcoal,fuels_in_home_dung,fuels_in_home_crop,fuels_in_home_kerosene,fuels_in_home_lpg,fuels_in_home_electricity,fuels_in_home_solar,fuels_in_home_other,primary_food_stove_shakti,primary_food_stove_chulha,primary_food_stove_tsf,primary_food_stove_metal_charcoal,primary_food_stove_metal_wood,primary_food_stove_kerosense,primary_food_stove_lpg,primary_food_stove_electric,primary_food_stove_solar,primary_food_stove_other,primary_tea_stove_shakti,primary_tea_stove_chulha,primary_tea_stove_tsf,primary_tea_stove_metal_charcoal,primary_tea_stove_metal_wood,primary_tea_stove_kerosene,primary_tea_stove_lpg,primary_tea_stove_electric,primary_tea_stove_solar,primary_tea_stove_other,primary_fuel_food_wood,primary_fuel_food_charcoal,primary_fuel_food_dung,primary_fuel_food_crop,primary_fuel_food_kerosene,primary_fuel_food_lpg,primary_fuel_food_electricity,primary_fuel_food_solar,primary_fuel_food_other,primary_fuel_tea_wood,primary_fuel_tea_charcoal,primary_fuel_tea_dung,primary_fuel_tea_crop,primary_fuel_tea_kerosense,primary_fuel_tea_lpg,primary_fuel_tea_electricity,primary_fuel_tea_solar,primary_fuel_tea_other,worst_thing_shakti_1,worst_thing_shakti_2,worst_thing_shakti_3,worst thing: size,worst thing: fuel loading,worst thing: fuel prep,worst thing: type or volume of food can't be cooked,worst thing: no usb,rate_size,rate_stability,rate_fuel_prep,rate_appearance,rate_complexity,rate_fuel_addition,best_thing_shakti_1,best_thing_shakti_2,best_thing_shakti_3,best thing: fast cooking,best thing: less smoke,best thing: less wood,best thing: charging,best thing: trasport,best thing: fan,rate_smoke,rate_usb_charging_family,rate_usb_charging_others,rate_fan,rate_fuel_consumption,rate_cooking_speed,rate_showing_off,rate_portability,better_worse_tea,better_worse_curry,better_worse_upma,better_worse_khichiri,better_worse_rice,better_worse_saimi,better_worse_dal,rate_overall,event_length_minutes_low,event_length_minutes_high,event_days_per_week_low,event_days_per_week_high,events_per_day_low,events_per_day_high,event_length,event_length_unit,event_length_other,frequency_make_food,frequency_make_drink,frequency_make_food_and_charge,frequency_make_drink_and_charge,frequency_use_usb_no_cooking,frequency_warmth,frequency_lighting,frequency_other,frequency_charge_own_phone,frequency_charge_others_phone,frequency_charge_own_small_led,frequency_charge_others_small_led,frequency_charge_own_large_led,frequency_charge_others_large_led,frequency_charge_other,shakti_common_fuel,shakti_common_fuel_other,who_enjoyed_shakti_most,enjoyed most you,enjoyed most husband,enjoyed most children,enjoyed most other family,who_enjoyed_shakti_most_other,loan_shakti,loan_shakti_whom,loan_shakti_why,loan_shakti_when,loan_shakti_duration,shakti_foods_chai,shakti_foods_curry,shakti_foods_upma,shakti_foods_khichiri,shakti_foods_rice,shakti_foods_saimi,shakti_foods_dal,shakti_foods_other,shakti_common_food,primary_use_case,recommend_shakti,best_part_of_study,improve_study,contact_if_for_sale,purchase_price,purchase_price_numeric,rental_price,rental_price_numeric,notes
followup,yes,12/6/14,village1,A-04,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is not possible to make food for more people,adding fuel frequently is irritating,,,,,,,6,5,5,7,5,2,cooking is faster,less wood consumed,charging of mobile is good,,,,,,,7,7,5,5,6,5,4,6,better,better,better,better,worse,better,worse,5,10,,7,,1,,40,minutes,,E. Never,E. Never,A. Every day,A. Every day,E. Never,E. Never,E. Never,E,A. Every day,E. Never,A. Every day,E. Never,B. Every 2 days,E. Never,e,wood,,your husband,,,,,,no,,,,,chai,curry,upma,khichiri,,,,,Chai (Tea) and Curry,Making small snacks or drinks like tea on this cookstove.,yes,learnt the operation from the ANTODAYA team and felt very good to serve tea to them,it would have been better to give us the stove for ever instead of giving for only 15 days,yes,250 rupees,250,10 -15 rupees,12.5,
followup,yes,1/6/15,village3,A-04,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,not fit for cooking rice,adding fuel frequently,,,,,,2,3,3,6,4,3,less wood is consumed,low smoke,,,,,,,,5,5,4,5,6,5,4,6,better,worse,better,better,worse,better,worse,2,5,,3,,2,,30,minutes,,E. Never,E. Never,E. Never,B. Every 2 days,E. Never,E. Never,E. Never,E,B. Every 2 days,E. Never,C. 1-3 times per week,E. Never,B. Every 2 days,E. Never,E,wood,,you,,,,,,no,,,,,chai,,,,,,,,chai,Making small snacks or drinks like tea on this cookstove.,yes,Seeing and using a new thing,If it is made little bigger and adding wood from bottom,no,No idea,NA,No,NA,"Fan is not functioning, clip was downwards"
followup,yes,12/6/14,village1,A-05,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,feel bad to add the fuel frequently,cooking Rice and dal is not possible,cooking for more people is not possible,,,,,,3,4,2,6,5,2,less smoke,good for cooking chai and curry,feel good because it has mobile charging system,,,,,,,7,6,5,6,5,4,5,3,better,better,better,worse,worse,better,worse,6,5,7,4,,3,,1,hours,,E. Never,A. Every day,A. Every day,E. Never,E. Never,E. Never,E. Never,E,A. Every day,E. Never,B. Every 2 days,E. Never,B. Every 2 days,E. Never,e,wood,,your children,,,,,,no,,,,,chai,curry,upma,,,semia,,,Chai (Tea) and Curry,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",no,Felt delighted to cook in a new type of chulla,I can not change the patern,yes,300 rupees,300,not interested,NA,good condition
followup,yes,12/20/14,village2,A-05,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,too small in size,,,,,,,2,4,4,6,4,2,less wood required,less time required to cook,less smoke emitted & charging of mobile possible,,,,,,,5,6,5,5,5,5,4,6,better,better,better,better,worse,better,better,5,5,,7,,2,,1,hours,,E. Never,E. Never,A. Every day,A. Every day,E. Never,E. Never,E. Never,E,A. Every day,E. Never,A. Every day,E. Never,B. Every 2 days,E. Never,E,wood,,other family,,,,,,no,,,,,chai,curry,upma,,,,,,Chai (Tea) and Curry,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,could know new things and its made me happy,If there will be system of adding fuel from bottom.  Giving the chulla to us for ever,yes,Rs. 500,500,Rs. 50,50,OK
followup,yes,1/6/15,village3,A-05,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,more quantity cooking is not possible as the size is small,adding fuel frequently by making small pieces,cooking rice is difficult,,,,,,3,4,2,6,6,3,charing mobile and light,no smoke,lass time required for making tea etc.,,,,,,,7,7,5,6,6,7,5,7,better,better,better,worse,worse,better,worse,5,3,,7,,2,,90,minutes,,E. Never,E. Never,A. Every day,A. Every day,C. 1-3 times per week,E. Never,E. Never,E,A. Every day,E. Never,A. Every day,E. Never,A. Every day,E. Never,E,wood,,your husband,,,,,,no,,,,,chai,curry,,,,,,It is good for farmers who can take it to field and cook tea etc,Chai (Tea) and Curry,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,Coking with a new type chulla. Meeting with new people,A chulla with system of adding wood from the bottom,no,No idea,NA,Not interested,NA,Appears to be in good condition
followup,yes,1/6/15,village3,A-06,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,adding fuel frequently,not fit for cooking food for more people,adding fuel from top is a problem,,,,,,4,4,1,6,4,3,less smoke,good to cook tea,facility for charging light and mobile,,,,,,,5,6,4,5,5,4,3,6,better,worse,better,worse,worse,better,worse,5,5,,7,,1,,1,hours,,E. Never,E. Never,E. Never,A. Every day,C. 1-3 times per week,E. Never,E. Never,E,A. Every day,E. Never,A. Every day,E. Never,A. Every day,E. Never,E,wood,,you,,,,,,no,,,,,chai,,,,,,,,chai,Making small snacks or drinks like tea on this cookstove.,yes,Cooking with a new chulla and charging mobile & light,Bigger chulla will be good. If bigger size wood can be put then it will be good,no,Rs. 350-400. But I do not have money to purchase,425,No,NA,appears to be in good condition
followup,yes,12/20/14,village2,A-06,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,feel bad to add the fuel frequently,only fit for cooking Tea etc.,not fit for cooking for more number of people,,,,,,7,5,4,7,4,3,smoke is not there,fan is fitted there so easy to fire,charging facility is good,,,,,,,6,7,5,6,4,5,6,7,better,better,better,worse,worse,better,worse,6,8,,7,,2,,30,minutes,,B. Every 2 days,A. Every day,A. Every day,A. Every day,A. Every day,E. Never,E. Never,E,A. Every day,D. Less than once per week,B. Every 2 days,B. Every 2 days,B. Every 2 days,C. 1-3 times per week,,wood,,you,,,,,,no,,,,,chai,curry,upma,khichiri,,semia,,,Chai (Tea) and Curry and Upma,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,Taking part in the survey and cooking tea in a common place with other women of the village,Except suggesting for a bigger shakti chulla I can not suggest other things,yes,If available within Rs 500,500,"no, shall not take on rent",NA,returned in good condition
followup,yes,12/6/14,village1,A-06,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,it is not good for cooking rice,too small in size,frequent moving of the cooking pot is irritating,,,,,,2,4,5,7,5,2,cooking is faster,less smoke,charging of mobile is good,,,,,,,5,6,4,4,5,5,4,7,better,better,better,better,worse,better,better,4,10,,,7,3,,1,hours,,C. 1-3 times per week,C. 1-3 times per week,B. Every 2 days,B. Every 2 days,E. Never,E. Never,E. Never,E,B. Every 2 days,E. Never,A. Every day,E. Never,B. Every 2 days,E. Never,e,wood,,you,,,,,,no,,,,,chai,curry,,,,,dal,,all the above three,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,making and serving tea and upma during the training,it would have been better to give us the chulla for ever. If the chulla made bigger then it will serve better,no,,NA,no,NA,
followup,yes,12/6/14,village1,A-07,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,too small in size,it is only fit for cooking for less number of people,not feeling good to add fuel frequently,,,,,,2,5,4,7,5,2,less smoke,good for chai and snack preparation and no need to air it manually as there is a fan,charging facility is good,,,,,,,7,6,4,5,7,5,4,6,better,better,better,worse,worse,better,worse,6,8,10,5,,2,,1,hours,,E. Never,E. Never,C. 1-3 times per week,B. Every 2 days,E. Never,E. Never,E. Never,e,B. Every 2 days,E. Never,B. Every 2 days,E. Never,B. Every 2 days,E. Never,e,wood,,you,,,,,,no,,,,,chai,curry,upma,,,semia,,,Chai (Tea) and Curry,Making small snacks or drinks like tea on this cookstove.,yes,seeing and learning to cook using a new type of chulla I felt good,It is better to have a bigger chulla. No other suggesstion from me,yes,200 rupees,200,no not interested,NA,chulla is in good condition
followup,yes,12/20/14,village2,A-07,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,feel bad to add the fuel frequently,too small in size,,,,,,,2,4,5,6,4,2,cooking is faster,less smoke,less wood consumption and charging facility,,,,,,,5,5,4,5,5,5,4,7,better,better,better,better,worse,better,better,5,10,,7,,3,,1,hours,,E. Never,E. Never,B. Every 2 days,A. Every day,E. Never,E. Never,E. Never,E,B. Every 2 days,C. 1-3 times per week,A. Every day,C. 1-3 times per week,B. Every 2 days,C. 1-3 times per week,E,wood,,your children,,,,,,no,,,,,chai,curry,upma,,rice,,dal,,Chai (Tea) and Curry,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,hearing about the Shakti chulla from you and operating the chulla,system of adding wood from the bottom''  Giving the chulla to the women for ever,yes,Rs 200,200,Rs 10,10,The stove is OK. The lady felt bad as she was using the chulla at her paddy threshing yard while her family members were at the yard to harvest paddy. The stand of the chulla is slightly bent
followup,yes,1/6/15,village3,A-07,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,unable to cook for more people,adding fuel frequently is boring,,,,,,,2,4,4,5,3,2,less wood consumed,quick to cook,too less smoke,,,,,,,5,5,4,5,5,5,4,7,better,worse,better,better,worse,better,worse,3,10,,2,,2,,15,minutes,,E. Never,E. Never,E. Never,C. 1-3 times per week,E. Never,E. Never,E. Never,E,B. Every 2 days,E. Never,B. Every 2 days,E. Never,B. Every 2 days,E. Never,E,wood,,you,,,,,,no,,,,,chai,,,,,,,,Tea,Making small snacks or drinks like tea on this cookstove.,no,Learning about a new subject,It is better if the chulla is made little bigger. Adding fuel from the bottom would be good,no,No,NA,No,NA,Fan is not functioning
followup,yes,12/6/14,village1,A-08,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,difficult to add the wood,not fit for cooking food for more people,,,,,,,5,5,5,7,5,2,less wood is consumed,cooking is faster,good to make tea,,,,,,,5,7,5,5,5,5,4,7,better,worse,better,better,worse,better,better,5,5,,7,,2,,30,minutes,,E. Never,D. Less than once per week,E. Never,A. Every day,E. Never,E. Never,E. Never,E,A. Every day,B. Every 2 days,A. Every day,B. Every 2 days,B. Every 2 days,C. 1-3 times per week,e,wood,,you,,,,,,no,,,,,chai,curry,,,,,dal,,Chai (Tea) and Curry,"Making some part of a meal (for example, making dal on this cookstove, but rice on another chulha)",yes,learning the operation from the team and serving tea to the team was a good moment for me,Instead of 15 days if the chulla is given for ever to us it would have been better,yes,Maximum Rs. 500,500,10 -15 rupees,12.5,
followup,yes,12/20/14,village2,A-08,Shakti Chulha,chulha,,,,,,,,,wood,,,,,,,,,,chulha,,,,,,,,,Shakti Chulha,,,,,,,,,,wood,,,,,,,,,wood,,,,,,,,,feel bad to add the fuel frequently,too small in size,,,,,,,2,4,4,6,4,2,cooks fast,less smoke,charging facility is good,,,,,,,5,6,5,5,5,5,4,6,better,better,better,better,worse,better,better,5,4,,7,,2,,30,minutes,,E. Never,E. Never,E. Never,A. Every day,E. Never,E. Never,E. Never,E,A. Every day,C. 1-3 times per week,A. Every day,B. Every 2 days,B. Every 2 days,C. 1-3 times per week,E,wood,,you,,,,,,no,,,,,chai,,,,,,dal,,chai,Making small snacks or drinks like tea on this cookstove.,yes,learning new things,no comment,no,no,NA,no,NA,OK
